ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
1203,15,5,6,2,2,2,58.33333333333333,32.077115707865936,1,85.20000000000083
1204,10,5,4,0,1,1,54.54545454545455,32.87503001612295,1,41.89999999999916
1218,9,2,2,4,1,1,53.846153846153854,42.85216634008274,1,17.133333333334555
1219,12,4,3,4,1,3,61.53846153846154,41.207816242107555,1,23.457142857141733
1225,6,1,3,0,2,2,55.55555555555556,32.047409100805574,1,23.400000000000087
1249,13,4,1,3,5,8,83.33333333333333,40.16272542696763,1,0.5000000000010552
1250,13,4,1,3,5,8,83.33333333333333,42.90756001433178,1,2.1999999999988695
1255,21,3,5,6,7,3,71.42857142857143,49.02862801584443,1,52.933333333331504
1256,26,5,7,6,8,4,83.33333333333333,53.50979410923649,1,75.9999999999983
1257,27,6,7,6,8,4,83.33333333333333,51.5273806119531,1,89.20000000000039
1258,26,6,7,5,8,4,83.33333333333333,48.668144123534454,1,77.5999999999999
1259,25,6,7,4,8,5,71.42857142857143,45.777094652559335,1,70.07777777777724
1260,23,5,8,2,8,5,71.42857142857143,46.88268515870746,1,69.30000000000103
1261,16,4,6,2,4,2,50.0,44.50100085787818,1,35.4923076923086
1262,13,3,5,1,4,1,66.66666666666666,45.60301687160423,1,33.22857142857405
1263,11,3,4,1,3,1,66.66666666666666,51.83158512433067,1,23.94285714285793
1264,8,2,3,1,2,1,66.66666666666666,53.41780972639918,1,17.35384615384472
1290,7,3,4,0,0,2,55.0,49.8971043966686,1,45.554545454546954
1309,5,1,1,1,2,1,57.14285714285714,31.85834502103787,1,0.5818181818173507
1352,15,4,2,5,4,2,62.50000000000001,37.1177370030581,1,4.871428571429082
1353,11,4,2,1,4,2,62.50000000000001,35.82705329838357,1,3.9999999999995595
1354,12,4,3,1,4,2,62.50000000000001,33.86686325906509,1,10.133333333335326
1355,9,0,4,1,4,1,55.55555555555556,31.262287024901703,1,30.938461538463358
1356,6,0,3,1,2,1,55.55555555555556,32.072411533420706,1,35.41818181818313
1357,7,1,3,1,2,1,55.55555555555556,33.327599388379205,1,28.74545454545574
1379,13,4,4,1,4,2,58.33333333333333,39.629369538077405,1,3.133333333331656
1394,14,3,3,5,3,4,61.11111111111111,37.23305154300722,1,16.457142857142504
1399,11,4,3,3,1,7,68.42105263157895,46.263131976362445,0,0.0
1505,17,4,3,5,5,1,66.66666666666666,45.0031025923883,1,2.2999999999995246
1509,20,5,5,5,5,3,60.0,38.23359073359073,1,23.899999999998922
1511,18,4,4,5,5,2,66.66666666666666,35.70497793712079,1,20.46666666666752
1512,18,4,4,5,5,1,57.14285714285714,39.15712906784336,1,45.000000000001705
1513,14,4,4,3,3,1,57.14285714285714,42.0411610590182,1,54.00000000000071
1514,12,4,4,2,2,1,57.14285714285714,37.24248564674097,1,59.80000000000096
1533,15,4,3,4,4,2,75.0,39.067447016964884,1,3.6333333333349316
1534,16,4,3,4,5,1,60.0,36.72072397256742,1,16.499999999997073
1535,16,4,4,3,5,2,66.66666666666666,33.78100345485484,1,6.80000000000236
1536,15,3,4,3,5,2,66.66666666666666,35.237198989326046,1,8.00000000000134
1537,15,3,4,3,5,1,57.14285714285714,36.52065178157067,0,0.0
1538,14,3,4,3,4,1,57.14285714285714,38.36513174856907,0,0.0
