ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
2507,15,5,3,4,3,2,66.66666666666666,43.562047101449274,1,47.599999999999866
2508,15,5,4,3,3,2,66.66666666666666,42.14221014492754,0,0.0
2509,11,5,3,1,2,1,57.14285714285714,39.5018115942029,1,37.199999999999456
2510,9,4,3,1,1,3,66.66666666666666,40.20153985507246,1,7.546153846154091
2525,15,4,3,3,5,3,66.66666666666666,40.15947888589398,0,0.0
2526,15,3,4,3,5,2,62.50000000000001,40.125786163522015,0,0.0
2527,15,3,4,3,5,2,62.50000000000001,38.84546271338724,0,0.0
2528,16,3,5,3,5,2,62.50000000000001,38.043575920934416,0,0.0
2529,14,3,5,2,4,3,71.42857142857143,39.25651392632525,0,0.0
2530,7,3,2,1,1,1,60.0,38.47035040431267,0,0.0
2553,8,1,2,1,4,1,55.55555555555556,32.51237623762376,1,14.0714285714294
2556,13,4,5,2,2,3,80.0,26.99876237623762,0,0.0
2557,10,2,4,2,2,2,75.0,50.608815426997246,1,7.7615384615392635
2582,10,2,2,3,3,3,80.0,38.827353094123765,1,19.399999999999416
2583,11,2,3,3,3,3,80.0,43.52314092563703,0,0.0
2584,10,3,3,2,2,3,80.0,44.815392615704624,0,0.0
2585,9,3,3,1,2,3,80.0,43.7857514300572,0,0.0
2586,7,2,3,0,2,3,80.0,43.621944877795116,1,18.54615384615399
