weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
9,3,3,3,0,3,58.82352941176471,40.94687537056801,1,51.900000000000276
55,14,10,15,16,13,78.26086956521739,52.16000349162011,1,86.36666666666626
53,12,17,8,16,16,86.36363636363636,48.89796241972568,1,79.96666666666653
45,8,16,4,17,17,90.47619047619048,58.08084577114428,1,49.55384615384695
41,6,15,4,16,17,90.47619047619048,57.59908789386401,1,67.29999999999903
11,3,5,3,0,5,63.15789473684211,42.72738052887466,1,31.976923076921793
57,15,14,12,16,13,78.26086956521739,49.283344972067034,1,126.49999999999828
55,15,14,10,16,14,79.16666666666666,51.177548882681556,1,127.60000000000105
33,7,9,8,9,6,63.63636363636363,37.40320577943335,1,20.000000000000018
59,15,13,15,16,13,78.26086956521739,48.87613477653631,1,163.56666666666797
37,9,9,8,11,9,71.42857142857143,37.252956763394295,1,13.100000000001444
29,7,4,10,8,2,56.25,55.305608065532454,1,19.027272727274447
24,9,4,6,5,4,61.11111111111111,48.80095046609395,1,28.166666666666895
25,9,6,5,5,3,57.89473684210526,37.62536676447053,1,63.70000000000209
22,6,6,5,5,3,57.89473684210526,41.71712456655108,1,73.40000000000124
25,5,10,5,5,4,60.0,48.110689608454145,1,81.44615384615417
9,0,3,4,2,3,57.14285714285714,48.983877523370815,1,12.299999999998423
19,6,4,3,6,9,80.0,41.02889949683912,1,2.844444444443095
23,5,8,5,5,4,60.0,46.92250372578241,1,87.48888888888916
19,3,5,6,5,8,75.0,46.924383267786915,1,3.3090909090915943
26,8,7,2,9,5,61.904761904761905,37.51952847606874,1,61.59999999999943
14,0,4,3,7,6,68.75,55.273507329281365,1,5.599999999998939
16,2,4,3,7,5,64.70588235294117,55.38076510547014,1,25.444444444444603
14,4,3,3,4,1,52.94117647058823,47.71554209919262,1,8.371428571427586
12,2,3,3,4,2,56.25,47.930363321799305,1,10.857142857143565
16,2,5,3,6,5,64.70588235294117,52.960983884648,1,52.799999999999514
