ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
876,52,19,12,17,4,9,59.57446808510638,30.8428923670669,1,83.59999999999923
877,35,19,10,3,3,4,54.0,32.439429674099486,1,128.21818181818267
878,28,17,7,2,2,5,54.90196078431373,35.31276801029159,1,36.49999999999709
879,21,12,6,1,2,5,54.90196078431373,38.31073113207547,1,22.999999999999687
898,55,14,10,15,16,13,78.26086956521739,52.16000349162011,1,86.36666666666626
899,59,15,13,15,16,13,78.26086956521739,48.87613477653631,1,163.56666666666797
900,57,15,14,12,16,13,78.26086956521739,49.283344972067034,1,126.49999999999828
901,55,15,14,10,16,14,79.16666666666666,51.177548882681556,1,127.60000000000105
902,53,12,17,8,16,16,86.36363636363636,48.89796241972568,1,79.96666666666653
903,48,10,16,6,16,17,90.47619047619048,56.36940298507462,1,37.57142857142792
904,45,8,16,4,17,17,90.47619047619048,58.08084577114428,1,49.55384615384695
905,41,6,15,4,16,17,90.47619047619048,57.59908789386401,1,67.29999999999903
906,24,3,10,1,10,14,88.88888888888889,57.78738259496301,1,25.218181818182916
907,22,3,7,3,9,12,87.5,55.78339290167068,1,11.299999999998533
911,13,1,4,3,5,4,64.28571428571428,41.592176513375904,1,59.59999999999965
913,9,3,3,3,0,5,66.66666666666666,32.30552591011502,1,22.400000000000198
914,9,3,3,3,0,4,62.50000000000001,36.713802917111344,1,37.44999999999887
915,9,3,3,3,0,3,58.82352941176471,40.94687537056801,1,51.900000000000276
916,11,3,5,3,0,5,63.15789473684211,42.72738052887466,1,31.976923076921793
928,15,0,4,7,4,7,62.06896551724138,41.392933739699735,1,555.6000000000006
933,33,7,9,8,9,6,63.63636363636363,37.40320577943335,1,20.000000000000018
934,37,9,9,8,11,9,71.42857142857143,37.252956763394295,1,13.100000000001444
935,37,8,9,9,11,9,71.42857142857143,36.26118449083937,0,0.0
936,33,8,7,9,9,7,68.42105263157895,36.82431472802159,0,0.0
937,26,8,7,2,9,5,61.904761904761905,37.51952847606874,1,61.59999999999943
938,24,8,8,1,7,1,51.99999999999999,39.59735832978271,1,136.60000000000005
940,12,1,8,1,2,1,51.99999999999999,42.7000142612664,1,148.7000000000016
941,11,1,8,0,2,2,53.846153846153854,42.27681118083286,1,96.18181818181748
942,11,1,8,0,2,3,55.99999999999999,40.52381607929515,1,104.05454545454606
971,29,7,4,10,8,2,56.25,55.305608065532454,1,19.027272727274447
972,24,9,4,6,5,4,61.11111111111111,48.80095046609395,1,28.166666666666895
973,25,9,6,5,5,3,57.89473684210526,37.62536676447053,1,63.70000000000209
974,22,6,6,5,5,3,57.89473684210526,41.71712456655108,1,73.40000000000124
975,23,5,8,5,5,4,60.0,46.92250372578241,1,87.48888888888916
976,25,5,10,5,5,4,60.0,48.110689608454145,1,81.44615384615417
987,9,0,3,4,2,3,57.14285714285714,48.983877523370815,1,12.299999999998423
993,19,6,4,3,6,9,80.0,41.02889949683912,1,2.844444444443095
996,19,3,5,6,5,8,75.0,46.924383267786915,1,3.3090909090915943
1000,14,0,4,3,7,6,68.75,55.273507329281365,1,5.599999999998939
1001,16,2,4,3,7,5,64.70588235294117,55.38076510547014,1,25.444444444444603
1002,16,2,5,3,6,5,64.70588235294117,52.960983884648,1,52.799999999999514
1003,11,2,4,3,2,2,56.25,51.38083121289229,1,69.60000000000078
1023,14,4,3,3,4,1,52.94117647058823,47.71554209919262,1,8.371428571427586
1024,12,2,3,3,4,2,56.25,47.930363321799305,1,10.857142857143565
1036,21,4,4,10,3,1,52.17391304347826,41.92130471686674,1,28.999999999996806
1038,27,8,6,10,3,2,55.0,42.53607372377834,1,52.00000000000094
1039,27,10,5,10,2,1,52.631578947368425,40.99915120649933,1,62.10000000000049
1057,3,2,1,0,0,1,52.631578947368425,43.12970310576002,1,13.899999999997803
1068,7,2,2,2,1,2,57.14285714285714,35.66079003181336,1,42.800000000000615
1071,7,2,4,1,0,1,52.94117647058823,39.11452810180276,1,80.82857142857058
1072,6,2,4,0,0,1,52.94117647058823,39.72958642629904,1,35.799999999999166
1134,39,6,8,12,13,3,55.99999999999999,45.78957510357453,1,49.78571428571277
1135,46,11,8,13,14,6,63.63636363636363,44.07071972251662,1,36.49999999999931
1136,49,13,9,13,14,6,63.63636363636363,46.01039454565776,1,49.300000000001006
